iter	RMSE
0	7.061067911
1	6.761006463
2	6.507354265
3	6.23598039
4	5.993251523
5	5.756227367
6	5.533387097
7	5.331135809
8	5.132146397
9	4.942919142
10	4.763627815
11	4.595350957
12	4.436546258
13	4.28731851
14	4.140829925
15	3.999783328
16	3.87021213
17	3.748786656
18	3.635650562
19	3.533635322
20	3.426463564
21	3.333713033
22	3.233912827
23	3.145231673
24	3.0711671
25	2.995871301
26	2.925403884
27	2.857666237
28	2.791448245
29	2.728889885
30	2.674263812
31	2.620813447
32	2.573143725
33	2.531270129
34	2.488415989
35	2.444246238
36	2.403251535
37	2.364569479
38	2.330598001
39	2.297852316
40	2.265003078
41	2.237400527
42	2.211797851
43	2.182449381
44	2.160034864
45	2.138334642
46	2.114795768
47	2.097820729
48	2.078742449
49	2.060754161
50	2.04380788
51	2.026388238
52	2.011655911
53	1.995922999
54	1.980533952
55	1.964912793
56	1.949457546
57	1.931916617
58	1.91886929
59	1.905275646
60	1.89192565
61	1.881664974
62	1.8698247
63	1.861251995
64	1.851096148
65	1.837584907
66	1.829036812
67	1.819313224
68	1.810088906
69	1.803297483
70	1.798783461
71	1.790226249
72	1.782223673
73	1.774790468
74	1.765226172
75	1.75929334
76	1.751294187
77	1.741839412
78	1.734399871
79	1.730396272
80	1.72590388
81	1.720984631
82	1.715249474
83	1.709526502
84	1.704828026
85	1.699828217
86	1.695676631
87	1.690954642
88	1.687860286
89	1.68388452
90	1.683352254
91	1.680127445
92	1.674820146
93	1.670398147
94	1.666300505
95	1.662218372
96	1.658106193
97	1.655054586
98	1.652977052
99	1.650919518
100	1.646565838
101	1.644302331
102	1.642701516
103	1.636954812
104	1.635300304
105	1.63022188
106	1.626908048
107	1.624208753
108	1.620225188
109	1.619022122
110	1.618226504
111	1.615837785
112	1.6134339
113	1.607747919
114	1.605182242
115	1.60332415
116	1.600714479
117	1.600022123
118	1.597884437
119	1.595072234
120	1.592637446
121	1.589899212
122	1.585378969
123	1.582930904
124	1.578988803
125	1.576711692
126	1.574110604
127	1.571248678
128	1.568472316
129	1.565887012
130	1.562848117
131	1.560545815
132	1.556223412
133	1.553509709
134	1.551753422
135	1.550498646
136	1.54974267
137	1.549273592
138	1.547661655
139	1.54529805
140	1.54348421
141	1.540336765
142	1.53902836
143	1.535831558
144	1.532719607
145	1.528761952
146	1.527422878
147	1.524314886
148	1.52254045
149	1.521955331
150	1.518849333
151	1.515965155
152	1.512882007
153	1.510661084
154	1.510242333
155	1.509776275
156	1.506678458
157	1.505501943
158	1.502755055
159	1.501550954
160	1.498938418
161	1.498233699
162	1.495107024
163	1.493418127
164	1.490944722
165	1.487021138
166	1.486201213
167	1.484446428
168	1.482931251
169	1.482485684
170	1.480038761
171	1.479195231
172	1.477141317
173	1.473209456
174	1.470573154
175	1.468426019
176	1.467834994
177	1.46727138
178	1.464110552
179	1.463097799
180	1.460000812
181	1.459075284
182	1.456334992
183	1.455197087
184	1.451349536
185	1.450770141
186	1.448221854
187	1.446038427
188	1.443524516
189	1.441001406
190	1.440640693
191	1.439018656
192	1.437326512
193	1.435364134
194	1.433213446
195	1.432788221
196	1.430749887
197	1.430403283
198	1.427992886
199	1.424795572
200	1.42280734
201	1.42097268
202	1.419340455
203	1.416265835
204	1.415349618
205	1.414192294
206	1.412670114
207	1.411386456
208	1.408768046
209	1.406673462
210	1.403761405
211	1.403272409
212	1.40039339
213	1.399267479
214	1.39719079
215	1.394653767
216	1.392951048
217	1.39167643
218	1.390205762
219	1.389053278
220	1.386913843
221	1.385962586
222	1.384127868
223	1.382183311
224	1.380794544
225	1.379052741
226	1.37739267
227	1.375758879
228	1.374934697
229	1.373318772
230	1.372371224
231	1.370412406
232	1.369639015
233	1.368394238
234	1.367744286
235	1.365860827
236	1.365077051
237	1.363895554
238	1.362314215
239	1.361460288
240	1.359690109
241	1.358508972
242	1.358169613
243	1.356744677
244	1.35585782
245	1.354452945
246	1.35379698
247	1.352296558
248	1.351208308
249	1.350018326
250	1.348927883
251	1.348238537
252	1.347116077
253	1.346620508
254	1.346318283
255	1.345994948
256	1.34509976
257	1.343227565
258	1.341790043
259	1.340213615
260	1.339053771
261	1.337440265
262	1.335985132
263	1.335270199
264	1.333743873
265	1.333501259
266	1.332324977
267	1.332091566
268	1.331343412
269	1.330206786
270	1.329453125
271	1.327485617
272	1.326415359
273	1.325584146
274	1.325327276
275	1.323868793
276	1.323071647
277	1.32209673
278	1.32025165
279	1.319321504
280	1.318467517
281	1.317376
282	1.316413675
283	1.315960276
284	1.314918524
285	1.314702496
286	1.313393809
287	1.312660235
288	1.312105673
289	1.311185895
290	1.310171712
291	1.309803847
292	1.308229147
293	1.307630574
294	1.305798496
295	1.304871977
296	1.303846376
297	1.303676136
298	1.302866734
299	1.302646031
300	1.302148568
301	1.301575227
302	1.301124316
303	1.299992031
304	1.299802173
305	1.299624317
306	1.299499439
307	1.299314644
308	1.299127081
309	1.297992571
310	1.297812606
311	1.296933752
312	1.295627732
313	1.295431657
314	1.294564801
315	1.293678162
316	1.293516589
317	1.293213627
318	1.292492478
319	1.291697345
320	1.291403005
321	1.291187888
322	1.289570468
323	1.289450957
324	1.288571652
325	1.28837398
326	1.287029668
327	1.285825981
328	1.285200671
329	1.284659012
330	1.283280967
331	1.282584486
332	1.282290599
333	1.280925165
334	1.280435934
335	1.279592601
336	1.278743399
337	1.27859107
338	1.276787799
339	1.275390798
340	1.274438967
341	1.2742947
342	1.272870766
343	1.272271016
344	1.271251628
345	1.270695025
346	1.269486322
347	1.268623456
348	1.26835716
349	1.267843265
350	1.267461082
351	1.266187837
352	1.265729582
353	1.264870406
354	1.264423119
355	1.263711476
356	1.263394451
357	1.262560108
358	1.262375905
359	1.261951407
360	1.261807503
361	1.26137556
362	1.259928153
363	1.258555709
364	1.257389866
365	1.2567567
366	1.256604053
367	1.25567515
368	1.253983406
369	1.252983542
370	1.252088403
371	1.251312633
372	1.250547371
373	1.249886302
374	1.248723495
375	1.24843583
376	1.248178028
377	1.247852736
378	1.247344697
379	1.246787653
380	1.246619346
381	1.246269866
382	1.245400259
383	1.244679132
384	1.244050424
385	1.243378298
386	1.242834244
387	1.24260159
388	1.242346316
389	1.241512972
390	1.240322927
391	1.239076458
392	1.238369699
393	1.236926837
394	1.236227108
395	1.235383975
396	1.234702372
397	1.23363966
398	1.233373907
399	1.233145585
400	1.232515377
401	1.232194154
402	1.231341471
403	1.23053858
404	1.22916131
405	1.228999369
406	1.228672664
407	1.228084201
408	1.227696195
409	1.226890802
410	1.226301831
411	1.225701894
412	1.224466081
413	1.224339144
414	1.222884193
415	1.222745116
416	1.221472773
417	1.221283395
418	1.221046469
419	1.220400314
420	1.22010091
421	1.219699267
422	1.218197536
423	1.217590482
424	1.217458095
425	1.217105532
426	1.216267611
427	1.215217322
428	1.214987276
429	1.214566491
430	1.213781133
431	1.213559272
432	1.213332388
433	1.212070492
434	1.21122379
435	1.210351009
436	1.209713903
437	1.209477
438	1.209075304
439	1.208313217
440	1.207793338
441	1.206853844
442	1.206572122
443	1.206075376
444	1.205197218
445	1.204564857
446	1.203694506
447	1.203356467
448	1.202651332
449	1.202444667
450	1.201886327
451	1.201813093
452	1.201293508
453	1.200768356
454	1.200546989
455	1.199466079
456	1.199076724
457	1.198874226
458	1.198066372
459	1.19712338
460	1.196702122
461	1.195859229
462	1.195737984
463	1.195307482
464	1.194967414
465	1.194362578
466	1.194274737
467	1.193615145
468	1.193512933
469	1.193310527
470	1.192885677
471	1.1924758
472	1.192038082
473	1.191086834
474	1.189883568
475	1.189403665
476	1.188479241
477	1.188348882
478	1.187052243
479	1.186713901
480	1.186260781
481	1.185794336
482	1.18471013
483	1.184473574
484	1.184068456
485	1.18390903
486	1.183330346
487	1.183101626
488	1.182924074
489	1.182106511
490	1.181987543
491	1.181718617
492	1.181312982
493	1.181171148
494	1.180703184
495	1.180031257
496	1.179280679
497	1.179053117
498	1.178208656
499	1.178066208
500	1.177502011
501	1.177078828
502	1.176874706
503	1.176415116
504	1.175786355
505	1.175562192
506	1.174720492
507	1.17437147
508	1.173940732
509	1.17376434
510	1.173540689
511	1.173300771
512	1.173130903
513	1.172947798
514	1.17250346
515	1.172236528
516	1.171988916
517	1.171042432
518	1.169990997
519	1.169496637
520	1.169426334
521	1.169357969
522	1.169292112
523	1.168843205
524	1.168283903
525	1.168199516
526	1.168073838
527	1.167947992
528	1.167747917
529	1.167231283
530	1.166536442
531	1.166449655
532	1.166030304
533	1.165342617
534	1.164872071
535	1.164497147
536	1.164010289
537	1.163873464
538	1.163764253
539	1.163607277
540	1.162960023
541	1.162614863
542	1.162534111
543	1.162278679
544	1.161780275
545	1.161651294
546	1.161454253
547	1.160917832
548	1.160510333
549	1.159813
550	1.15929428
551	1.15889198
552	1.158637593
553	1.158022179
554	1.157831089
555	1.157355353
556	1.157248828
557	1.156677983
558	1.15629193
559	1.156175325
560	1.15593332
561	1.155844638
562	1.155586333
563	1.154640107
564	1.154268951
565	1.153875586
566	1.153533462
567	1.152935966
568	1.152217055
569	1.152154505
570	1.151191786
571	1.151085319
572	1.150830107
573	1.150728408
574	1.150606968
575	1.14960312
576	1.148752396
577	1.148655298
578	1.148589949
579	1.148477812
580	1.147750218
581	1.147551969
582	1.147139512
583	1.146546041
584	1.146407975
585	1.145769749
586	1.145712571
587	1.144997685
588	1.144782403
589	1.144500614
590	1.144343649
591	1.143967672
592	1.143868375
593	1.143467341
594	1.14320513
595	1.143144524
596	1.143088113
597	1.14288198
598	1.142786967
599	1.142464094
600	1.142119705
601	1.141903679
602	1.141843949
603	1.141754545
604	1.141456144
605	1.141397595
606	1.140550188
607	1.140197662
608	1.140143633
609	1.140044668
610	1.139606591
611	1.139422281
612	1.139337301
613	1.139279998
614	1.139131612
615	1.139041728
616	1.138678638
617	1.138419879
618	1.138330815
619	1.138219909
620	1.13817302
621	1.138017029
622	1.137877687
623	1.137807301
624	1.137754779
625	1.13770624
626	1.137177714
627	1.137090337
628	1.137046157
629	1.1365135
630	1.136428373
631	1.13634333
632	1.13629657
633	1.135724918
634	1.135501759
635	1.134444257
636	1.134255294
637	1.133664651
638	1.133277041
639	1.132661508
640	1.132547905
641	1.132379167
642	1.132047778
643	1.131590196
644	1.131174269
645	1.13109199
646	1.130731546
647	1.130054273
648	1.129725815
649	1.129243545
650	1.128542073
651	1.127964661
652	1.127534894
653	1.127494307
654	1.127006751
655	1.126475176
656	1.126285153
657	1.125660659
658	1.12515744
659	1.124787034
660	1.124661361
661	1.124563564
662	1.124415058
663	1.123586247
664	1.122646085
665	1.122218745
666	1.12160113
667	1.120459577
668	1.12036929
669	1.120299641
670	1.119852587
671	1.119254962
672	1.118954415
673	1.118511876
674	1.118232605
675	1.117878082
676	1.117293265
677	1.117249659
678	1.116306119
679	1.116016953
680	1.11558546
681	1.11551478
682	1.115395278
683	1.1148
684	1.114409014
685	1.113908735
686	1.113558851
687	1.113392166
688	1.113323842
689	1.113091772
690	1.112752523
691	1.112323603
692	1.112202515
693	1.111597471
694	1.111276995
695	1.110998402
696	1.110658639
697	1.110346956
698	1.109842906
699	1.109423254
700	1.109215067
701	1.109061076
702	1.108195868
703	1.107948692
704	1.107639188
705	1.106969125
706	1.106461323
707	1.106107928
708	1.105344642
709	1.104869177
710	1.104535364
711	1.104403938
712	1.104107907
713	1.10381853
714	1.103564215
715	1.10295679
716	1.102785178
717	1.102089893
718	1.102010819
719	1.101455966
720	1.101098191
721	1.101004084
722	1.100661515
723	1.099945515
724	1.099747984
725	1.099199684
726	1.098690294
727	1.098309206
728	1.098087926
729	1.097811945
730	1.097423176
731	1.097207036
732	1.097164339
733	1.096994124
734	1.096767144
735	1.096384788
736	1.096121612
737	1.095872229
738	1.095760161
739	1.095525708
740	1.095207557
741	1.094823796
742	1.094429475
743	1.094276307
744	1.094100476
745	1.093786657
746	1.093685386
747	1.093278591
748	1.092993744
749	1.092461287
750	1.092083254
751	1.091965455
752	1.091462034
753	1.090908852
754	1.090754002
755	1.0905151
756	1.090171877
757	1.089319297
758	1.08856293
759	1.088353038
760	1.088247563
761	1.088163937
762	1.087939804
763	1.087899245
764	1.087401736
765	1.08717555
766	1.086978753
767	1.086812278
768	1.0866163
769	1.086468221
770	1.086324787
771	1.085468921
772	1.085218588
773	1.085012495
774	1.084853084
775	1.084771516
776	1.084258565
777	1.084129771
778	1.083799898
779	1.083363575
780	1.082966725
781	1.082774296
782	1.0826637
783	1.08242662
784	1.082385128
785	1.081896281
786	1.08153183
787	1.081358467
788	1.080876118
789	1.0805596
790	1.080267155
791	1.080009674
792	1.079737168
793	1.079522808
794	1.079127788
795	1.079041229
796	1.078780779
797	1.078565402
