iter	Passed	Remaining
0	157	157522
1	169	84426
2	181	60202
3	192	47833
4	201	40114
5	209	34763
6	216	30710
7	223	27758
8	230	25344
9	236	23436
10	243	21892
11	249	20544
12	256	19465
13	262	18503
14	269	17672
15	275	16932
16	281	16260
17	288	15718
18	294	15202
19	301	14777
20	308	14363
21	313	13953
22	321	13642
23	326	13291
24	333	13001
25	339	12724
26	345	12443
27	352	12247
28	358	12012
29	365	11833
30	372	11645
31	379	11466
32	386	11323
33	392	11162
34	400	11047
35	406	10886
36	413	10765
37	419	10615
38	425	10479
39	432	10374
40	438	10253
41	445	10161
42	451	10048
43	457	9942
44	464	9858
45	470	9761
46	477	9682
47	483	9597
48	490	9512
49	496	9440
50	502	9353
51	509	9283
52	515	9217
53	521	9144
54	528	9079
55	534	9002
56	541	8950
57	547	8891
58	553	8827
59	560	8774
60	565	8711
61	572	8661
62	578	8609
63	585	8562
64	592	8518
65	597	8460
66	604	8424
67	611	8376
68	618	8340
69	624	8300
70	630	8249
71	637	8219
72	643	8173
73	650	8137
74	656	8096
75	662	8051
76	669	8022
77	675	7987
78	682	7960
79	688	7923
80	695	7886
81	702	7863
82	708	7825
83	714	7796
84	721	7761
85	726	7725
86	733	7700
87	739	7663
88	746	7639
89	752	7605
90	757	7568
91	764	7546
92	770	7513
93	776	7487
94	783	7460
95	788	7428
96	795	7407
97	801	7378
98	807	7353
99	813	7325
100	819	7294
101	826	7272
102	832	7247
103	838	7226
104	845	7205
105	851	7183
106	858	7167
107	864	7139
108	870	7116
109	877	7097
110	882	7068
111	889	7048
112	895	7028
113	901	7003
114	908	6988
115	913	6963
116	922	6958
117	930	6956
118	938	6945
119	944	6924
120	950	6903
121	957	6889
122	963	6867
123	975	6891
124	994	6960
125	1005	6975
126	1014	6976
127	1030	7023
128	1038	7008
129	1045	6995
130	1052	6985
131	1059	6969
132	1066	6949
133	1074	6943
134	1080	6923
135	1088	6913
136	1094	6894
137	1101	6880
138	1107	6863
139	1114	6845
140	1122	6835
141	1127	6815
142	1135	6805
143	1142	6788
144	1149	6777
145	1156	6761
146	1161	6741
147	1170	6735
148	1175	6716
149	1183	6705
150	1189	6686
151	1196	6674
152	1203	6663
153	1210	6647
154	1216	6629
155	1221	6608
156	1227	6589
157	1233	6572
158	1238	6552
159	1245	6536
160	1250	6519
161	1256	6498
162	1262	6482
163	1268	6466
164	1276	6457
165	1282	6442
166	1287	6423
167	1294	6410
168	1300	6392
169	1305	6376
170	1311	6359
171	1317	6343
172	1324	6330
173	1330	6317
174	1337	6307
175	1344	6292
176	1349	6276
177	1356	6262
178	1362	6248
179	1368	6234
180	1374	6220
181	1381	6207
182	1389	6205
183	1396	6192
